"","Trend_Time","Trend","Trend_Q0.025","Trend_Q0.975","Number_of_Routes","Region","trend_type"
"237","Short-term",-2.90956508591169,-6.32877548295846,1.04978392584271,33,"US-MT-17","Short"
"238","Short-term",1.19584200335996,-2.10932218277445,4.44601689081842,39,"CA-NB-14","Short"
"239","Short-term",-0.666353595783714,-2.25504472176143,1.05382019441587,43,"US-NC-27","Short"
"240","Short-term",-3.19610908294467,-6.48781447611824,-0.26560131314335,12,"US-NC-28","Short"
"241","Short-term",-2.36858952343968,-4.78096654863207,0.215043260469074,30,"US-NC-29","Short"
"242","Short-term",-0.886899757634707,-2.83048030989082,1.09183057578154,34,"US-ND-11","Short"
"243","Short-term",-2.38484619370332,-6.20429297724574,1.60368143332997,14,"US-ND-17","Short"
"244","Short-term",4.20516672646222,-1.94083262731551,10.9881743382456,7,"US-NE-11","Short"
"245","Short-term",9.4022848418168,3.7317201571457,14.6360805419962,12,"US-NE-18","Short"
"246","Short-term",-1.82113231890219,-3.77924595148224,0.284462480300119,36,"US-NE-19","Short"
"247","Short-term",-1.70789846269426,-4.83628295321828,1.36508373553205,9,"US-NE-22","Short"
"248","Short-term",0.568401665432328,-2.21688055511974,3.48802358495709,20,"US-NH-14","Short"
"249","Short-term",-5.11656986685865,-10.0377569357129,-0.420227273205937,5,"US-NH-30","Short"
"250","Short-term",-3.436607652663,-8.81203832635549,2.10346262274231,6,"US-NJ-28","Short"
"251","Short-term",0.857578895080569,-5.22785494796608,7.22541368591198,5,"US-NJ-29","Short"
"252","Short-term",2.40399204961732,-0.883796122775139,5.90983703074742,21,"US-NJ-30","Short"
"253","Short-term",2.10819591311167,-1.41502075269177,5.70390447365538,32,"US-NM-16","Short"
"254","Short-term",0.351484031604066,-3.02906178008481,3.70233544039221,15,"US-NM-18","Short"
"255","Short-term",-0.601691526610509,-3.84930571349422,2.85517925229328,18,"US-NM-35","Short"
"256","Short-term",-1.53676364233896,-5.05424388410649,2.04837606612511,37,"CA-NSPE-14","Short"
"257","Short-term",2.1498675177908,-7.54335527147378,12.1971520389182,7,"CA-NT-6","Short"
"258","Short-term",0.18591453393193,-5.07419220246832,5.78308881956862,26,"US-NV-9","Short"
"259","Short-term",-1.62367980942451,-3.24903514095252,0.341817733265199,54,"US-NY-13","Short"
"260","Short-term",-10.5469621438508,-14.3450260220338,-6.85818130649362,24,"US-NY-14","Short"
"261","Short-term",-3.68304384652169,-5.90064736069683,-1.17967067443302,31,"US-NY-28","Short"
"262","Short-term",-1.93374368434077,-8.47403451720793,4.0655342424734,7,"US-NY-30","Short"
"263","Short-term",1.83760097233466,-0.88221006680105,4.74950259813964,12,"US-OH-13","Short"
"264","Short-term",-1.22628289017017,-3.62764708906611,1.06634217619329,27,"US-OH-22","Short"
"265","Short-term",-1.74191742356685,-5.47995539031595,2.25298527808228,7,"US-OH-23","Short"
"266","Short-term",0.570811133799842,-2.29689923530639,4.06640387032392,19,"US-OH-28","Short"
"267","Short-term",-1.98175297768416,-6.81165775170369,2.98922416355195,5,"US-OK-18","Short"
"268","Short-term",-4.0410354468071,-6.91456239935692,-1.10963269289444,23,"US-OK-19","Short"
"269","Short-term",-4.71123961178345,-7.72419668355372,-1.25457475838273,11,"US-OK-21","Short"
